age,revenu_annuel,montant_credit,duree_mois,anciennete_emploi,nb_credits_en_cours,taux_endettement,historique,type_credit,defaut
33,54900,24800,36,4.0,0,15.1,neutre,personnel,0
59,16600,55900,48,3.3,4,80.0,bon,revolving,1
47,35100,25500,60,9.1,0,14.5,neutre,personnel,1
42,27400,40800,12,21.6,0,80.0,neutre,immobilier,0
45,25900,46500,36,1.4,2,59.8,bon,auto,0
48,45000,18100,36,7.2,2,13.4,bon,personnel,0
21,62200,36100,36,2.1,3,19.3,bon,personnel,0
26,30600,26800,84,18.3,2,12.5,neutre,immobilier,1
32,53700,11500,36,0.9,5,7.1,mauvais,immobilier,0
25,37200,13500,36,0.3,5,12.1,mauvais,immobilier,0
41,23200,17000,120,1.9,5,7.3,neutre,personnel,0
53,31900,51500,48,0.9,2,40.4,bon,auto,0
52,31300,52700,36,7.8,3,56.1,bon,auto,0
43,25600,45500,84,8.6,0,25.4,neutre,auto,0
62,45000,36600,60,12.4,5,16.3,bon,immobilier,0
48,40800,35900,180,7.5,1,5.9,neutre,immobilier,0
23,16400,32700,120,2.6,1,19.9,mauvais,auto,0
58,15900,35800,60,0.3,5,45.0,bon,revolving,1
48,44900,37500,36,10.4,5,27.8,bon,personnel,0
51,24200,10100,48,0.1,5,10.4,neutre,auto,0
48,42200,15500,24,8.2,0,18.4,bon,immobilier,0
47,53700,13100,60,7.2,5,4.9,bon,immobilier,0
24,19200,58400,180,17.7,2,20.3,neutre,personnel,0
47,17900,85600,12,1.7,0,80.0,bon,auto,0
59,83900,5900,120,3.7,0,0.7,bon,immobilier,0
35,43300,80400,60,5.3,4,37.1,mauvais,personnel,1
50,29400,28600,36,0.8,4,32.4,bon,immobilier,0
21,22800,54700,120,1.8,2,24.0,bon,revolving,0
37,28100,38400,60,0.1,3,27.3,neutre,auto,0
41,20000,73700,48,11.2,4,80.0,bon,personnel,1
69,56500,31200,48,3.8,2,13.8,bon,personnel,0
30,24600,10400,24,5.1,4,21.1,mauvais,auto,1
33,62700,25000,24,4.9,1,19.9,neutre,revolving,0
40,29700,38600,60,10.8,1,26.0,bon,immobilier,0
69,21600,23100,120,1.7,2,10.7,neutre,immobilier,0
62,29300,42600,60,6.8,3,29.1,bon,personnel,0
21,15000,25700,120,5.0,1,17.1,mauvais,personnel,0
31,34200,17700,120,5.8,1,5.2,neutre,immobilier,0
61,33400,12600,12,2.7,1,37.7,neutre,immobilier,0
22,54900,20400,84,1.9,2,5.3,bon,immobilier,0
62,15000,31000,84,4.5,4,29.5,bon,personnel,0
34,64900,6800,36,0.4,1,3.5,bon,personnel,0
65,54700,15600,48,3.2,4,7.1,neutre,personnel,0
34,67900,6600,84,2.3,2,1.4,neutre,auto,0
41,35400,17500,240,3.1,1,2.5,bon,personnel,0
53,60300,62200,240,8.1,1,5.2,bon,auto,0
26,17400,11700,48,13.8,4,16.8,bon,personnel,0
47,51900,44000,84,3.0,1,12.1,bon,personnel,0
45,24700,197600,48,6.7,3,80.0,mauvais,personnel,1
59,15900,74400,120,3.2,3,46.8,neutre,immobilier,0
69,20700,29500,60,3.2,4,28.5,neutre,personnel,0
53,36400,49100,180,1.0,3,9.0,mauvais,immobilier,0
40,24000,10300,240,2.8,5,2.1,neutre,immobilier,0
40,43800,8900,36,2.8,5,6.8,bon,auto,0
40,15000,27400,240,3.8,1,9.1,neutre,auto,0
60,15000,35600,60,7.1,2,47.5,bon,immobilier,0
36,72100,57900,36,0.7,2,26.8,bon,personnel,1
28,57100,18100,12,10.7,3,31.7,neutre,auto,0
36,21500,30800,60,10.0,2,28.7,bon,immobilier,0
21,36300,30100,36,1.7,5,27.6,neutre,auto,1
25,60500,24500,36,16.4,4,13.5,bon,revolving,0
24,44800,25600,60,12.3,2,11.4,bon,personnel,0
58,39100,14800,12,1.5,1,37.9,bon,immobilier,0
56,62800,32700,48,25.8,4,13.0,bon,personnel,0
54,25200,30800,84,0.9,4,17.5,bon,immobilier,0
43,36900,19800,12,5.5,5,53.7,bon,immobilier,0
55,36000,42900,60,4.3,3,23.8,bon,revolving,0
28,31700,55200,36,15.7,4,58.0,bon,immobilier,1
65,29900,43200,120,1.3,5,14.4,bon,immobilier,1
45,37700,13000,48,5.7,0,8.6,bon,personnel,0
66,36900,28800,120,0.5,0,7.8,neutre,personnel,0
27,21500,14200,84,0.0,1,9.4,neutre,immobilier,0
44,54200,28800,120,6.7,1,5.3,bon,personnel,0
54,22300,14300,60,12.8,1,12.8,neutre,immobilier,0
44,32600,65800,48,8.3,0,50.5,mauvais,auto,0
42,31300,46600,12,1.3,4,80.0,bon,auto,0
28,43400,60300,60,11.3,3,27.8,mauvais,personnel,0
39,15000,56200,60,2.9,4,74.9,neutre,immobilier,1
31,56700,22300,60,0.7,4,7.9,bon,auto,0
35,25900,20000,24,5.7,0,38.6,bon,personnel,0
54,66800,91100,60,6.7,1,27.3,mauvais,personnel,0
51,28600,24000,48,2.5,2,21.0,bon,immobilier,0
50,35400,10400,60,15.6,1,5.9,bon,immobilier,0
38,94600,54500,60,0.6,2,11.5,bon,immobilier,0
67,31600,29800,48,6.3,2,23.6,bon,revolving,0
24,67500,77200,60,5.5,4,22.9,bon,auto,0
37,37000,31900,48,10.6,1,21.6,bon,revolving,1
25,44700,26500,84,5.9,1,8.5,neutre,revolving,0
36,37600,78300,84,1.1,1,29.7,bon,personnel,1
68,55500,9200,36,0.0,1,5.5,neutre,personnel,0
38,25800,17900,36,3.2,4,23.1,mauvais,auto,0
65,22200,14500,60,0.4,3,13.1,bon,revolving,0
44,26400,5800,84,8.4,4,3.1,mauvais,auto,0
54,38200,49600,12,12.9,0,80.0,neutre,personnel,0
42,32500,18200,48,2.8,4,14.0,bon,personnel,0
33,51800,50700,36,14.3,4,32.6,bon,revolving,0
58,69700,35300,84,2.5,4,7.2,bon,personnel,0
68,22300,41200,24,11.6,2,80.0,mauvais,revolving,1
33,25200,19600,84,7.6,4,11.1,bon,immobilier,0
58,17700,15800,60,4.3,3,17.9,neutre,revolving,0
33,100200,28600,120,0.3,4,2.9,neutre,personnel,0
55,42300,51200,240,0.8,4,6.1,mauvais,revolving,0
59,46200,26000,48,3.2,5,14.1,mauvais,immobilier,0
42,18600,16500,60,4.2,1,17.7,bon,auto,1
56,36300,11600,84,5.6,4,4.6,bon,personnel,0
33,46800,31000,120,0.6,1,6.6,bon,personnel,0
23,32000,18300,60,3.0,2,11.4,bon,personnel,0
24,62200,25600,24,4.9,5,20.6,mauvais,auto,0
42,115400,22800,240,1.5,0,1.0,neutre,personnel,0
65,22600,19700,24,6.0,4,43.6,mauvais,auto,0
26,21800,33000,240,2.6,1,7.6,bon,personnel,0
42,23400,39700,36,0.3,1,56.6,bon,auto,0
55,81100,106500,48,0.5,0,32.8,bon,personnel,0
30,61200,45700,240,1.9,4,3.7,bon,revolving,0
56,33900,82100,60,4.4,4,48.4,neutre,personnel,1
35,37000,15200,60,4.4,2,8.2,neutre,revolving,1
60,24100,8800,36,7.3,1,12.2,neutre,immobilier,0
48,56700,26600,36,2.6,3,15.6,neutre,personnel,0
47,30000,49100,12,0.8,5,80.0,bon,revolving,0
28,31900,44000,60,6.1,4,27.6,bon,personnel,0
43,49200,62800,48,0.4,4,31.9,neutre,immobilier,1
62,33100,4600,36,10.3,0,4.6,bon,immobilier,0
20,32300,64700,48,3.7,5,50.1,bon,auto,0
57,36500,34000,180,2.0,3,6.2,bon,personnel,0
44,54100,9100,120,1.7,3,1.7,mauvais,personnel,0
55,82700,44600,48,6.8,2,13.5,neutre,revolving,0
53,48700,30300,240,0.6,5,3.1,bon,personnel,0
41,54300,35100,48,4.0,3,16.2,neutre,immobilier,0
35,32900,54100,36,6.2,1,54.8,bon,revolving,0
51,25500,36400,48,15.4,2,35.7,bon,personnel,0
27,50400,9600,120,7.0,1,1.9,bon,personnel,0
49,39600,24300,36,4.7,5,20.5,bon,personnel,0
24,17800,8700,36,1.8,4,16.3,mauvais,revolving,1
52,30800,42400,240,0.0,3,6.9,bon,revolving,0
51,34800,71600,84,22.9,4,29.4,bon,revolving,0
24,28100,11300,84,0.5,5,5.7,mauvais,immobilier,1
57,76200,16800,84,9.7,2,3.1,bon,immobilier,0
40,46200,14500,60,0.7,1,6.3,neutre,revolving,1
59,72200,19600,24,0.4,5,13.6,bon,revolving,0
22,41400,35900,84,4.4,2,12.4,bon,personnel,0
28,37800,19700,36,5.3,0,17.4,bon,personnel,0
44,22700,42500,24,0.4,4,80.0,neutre,immobilier,1
29,36500,56700,240,2.5,1,7.8,bon,auto,0
36,36600,58200,12,4.2,1,80.0,bon,immobilier,1
53,18300,12300,12,1.7,4,67.2,bon,personnel,0
27,27700,71000,36,0.9,5,80.0,neutre,auto,0
53,30900,75100,120,1.4,0,24.3,neutre,personnel,0
25,44700,79800,240,4.9,3,8.9,mauvais,personnel,0
28,45700,24100,24,1.1,1,26.4,neutre,immobilier,0
49,27200,15900,48,3.0,5,14.6,bon,revolving,0
59,45900,13500,84,0.1,5,4.2,bon,immobilier,0
28,33200,12400,60,4.9,0,7.5,bon,revolving,0
34,15000,27100,36,4.6,0,60.2,bon,revolving,0
66,28500,48700,36,5.4,2,57.0,bon,personnel,1
69,62300,67100,60,2.4,0,21.5,neutre,personnel,0
49,15700,19200,12,1.1,2,80.0,bon,personnel,0
42,38400,26200,84,1.5,1,9.7,mauvais,immobilier,0
37,80200,25000,36,5.8,5,10.4,bon,auto,1
50,24800,17200,120,4.1,4,6.9,neutre,auto,0
49,36400,45000,60,12.7,0,24.7,bon,immobilier,0
34,18900,34700,60,0.7,3,36.7,neutre,personnel,0
21,81900,29700,84,32.9,4,5.2,mauvais,personnel,0
27,34800,34600,24,1.2,4,49.7,bon,immobilier,0
67,37200,41400,36,2.8,3,37.1,bon,personnel,0
40,71500,41100,60,13.7,3,11.5,neutre,personnel,0
44,50600,15000,84,5.3,5,4.2,mauvais,revolving,0
43,23400,50400,120,0.4,1,21.5,neutre,immobilier,0
59,26300,32200,48,5.0,5,30.6,bon,immobilier,1
23,46500,19800,84,2.2,1,6.1,neutre,personnel,0
24,26600,31700,36,7.0,4,39.7,neutre,revolving,0
33,15000,34200,24,6.7,5,80.0,bon,revolving,0
44,35400,57400,36,1.3,1,54.0,neutre,immobilier,0
53,17300,12900,180,1.7,3,5.0,bon,personnel,0
44,81500,68000,60,4.1,5,16.7,bon,auto,0
42,39700,27300,48,0.1,1,17.2,bon,immobilier,0
66,23100,18900,84,3.7,3,11.7,neutre,auto,1
28,25600,18500,12,6.6,4,72.3,bon,immobilier,1
48,15000,13300,24,5.1,3,44.3,bon,revolving,1
47,21000,8000,24,11.9,4,19.0,neutre,auto,1
43,60400,43200,24,7.5,1,35.8,bon,immobilier,0
60,110800,107600,48,8.7,3,24.3,bon,auto,1
33,52200,8700,36,1.8,4,5.6,mauvais,personnel,0
67,34700,13800,84,10.8,1,5.7,neutre,immobilier,0
36,29300,45500,120,16.4,2,15.5,bon,immobilier,0
47,22500,26100,180,5.5,3,7.7,bon,immobilier,0
46,101700,48200,36,10.1,4,15.8,bon,auto,0
62,33000,25100,60,1.5,4,15.2,neutre,personnel,0
41,104600,17900,12,2.3,2,17.1,bon,personnel,0
34,72900,23000,36,12.7,5,10.5,bon,immobilier,0
21,15200,5100,60,2.2,3,6.7,mauvais,personnel,0
38,26000,12100,48,1.6,3,11.6,neutre,personnel,1
61,26000,52300,60,10.0,0,40.2,neutre,auto,0
20,34900,62000,120,0.5,1,17.8,neutre,immobilier,0
64,35200,72000,24,2.3,0,80.0,mauvais,revolving,1
47,162400,36600,180,2.5,0,1.5,bon,auto,0
27,21200,5500,12,0.6,5,25.9,bon,immobilier,0
35,40700,17200,240,5.4,1,2.1,bon,personnel,0
47,49400,68000,60,1.1,4,27.5,bon,personnel,0
35,36300,83800,12,1.0,3,80.0,mauvais,immobilier,1
25,38400,69800,48,9.2,1,45.4,neutre,immobilier,0
53,21500,22800,36,1.5,4,35.3,bon,immobilier,0
53,38300,10800,84,0.6,3,4.0,bon,immobilier,0
25,46900,26100,36,0.3,4,18.6,neutre,personnel,0
34,42800,27200,120,12.1,4,6.4,bon,immobilier,0
32,48300,80500,36,1.5,4,55.6,neutre,personnel,0
52,73600,31600,240,8.5,3,2.1,mauvais,immobilier,0
56,58000,27200,36,12.5,0,15.6,neutre,immobilier,0
56,37600,28300,60,8.3,2,15.1,bon,auto,0
66,20200,35600,120,7.8,4,17.6,neutre,auto,1
58,26900,41700,36,1.5,5,51.7,neutre,auto,0
36,32500,16200,24,6.2,3,24.9,neutre,auto,0
25,41200,12800,60,5.8,0,6.2,bon,personnel,0
50,28600,70200,60,5.2,5,49.1,neutre,revolving,0
65,22700,8500,120,0.7,3,3.7,neutre,immobilier,0
68,20000,84700,36,25.0,3,80.0,bon,auto,0
31,15900,7100,120,12.7,2,4.5,bon,personnel,0
31,32300,17900,180,12.6,2,3.7,bon,personnel,0
21,17400,53100,84,3.9,3,43.6,neutre,revolving,0
27,22000,26900,12,11.0,3,80.0,bon,personnel,0
47,29800,10700,24,2.3,1,18.0,bon,immobilier,0
47,18600,36300,240,2.4,2,9.8,bon,personnel,0
38,43900,28200,84,19.2,0,9.2,bon,personnel,0
35,52600,23100,60,1.7,1,8.8,neutre,revolving,0
61,27600,17400,180,1.7,5,4.2,bon,immobilier,0
43,29200,26300,12,3.5,1,80.0,bon,immobilier,0
60,47500,17900,84,1.9,5,5.4,bon,personnel,0
68,25400,147900,60,29.0,2,80.0,bon,personnel,1
35,24600,22700,120,4.9,5,9.2,neutre,immobilier,0
30,66100,20700,84,0.4,3,4.5,mauvais,personnel,0
67,56500,18400,48,5.1,4,8.1,bon,personnel,0
51,49100,93300,24,0.9,2,80.0,bon,immobilier,0
34,57700,8500,180,1.6,0,1.0,bon,personnel,0
51,15000,34600,84,12.0,2,33.0,bon,revolving,0
45,71500,22800,48,0.1,3,8.0,bon,immobilier,0
65,44200,9900,240,0.6,1,1.1,mauvais,personnel,0
32,60200,15200,36,3.5,2,8.4,bon,immobilier,0
69,44100,33600,48,0.8,0,19.0,bon,immobilier,0
66,37200,14700,240,3.4,2,2.0,mauvais,immobilier,0
29,31600,32300,60,0.5,0,20.4,neutre,revolving,0
28,43600,90300,120,0.1,1,20.7,bon,immobilier,0
46,31100,30300,120,2.3,2,9.7,neutre,personnel,0
22,56000,9700,60,14.3,1,3.5,neutre,immobilier,0
34,16400,14900,36,5.5,0,30.3,mauvais,auto,1
41,27700,22000,120,3.0,0,7.9,bon,personnel,0
68,101000,21000,60,1.0,3,4.2,bon,revolving,0
69,26600,29900,60,6.1,0,22.5,neutre,personnel,0
27,32200,33500,60,9.7,0,20.8,mauvais,personnel,0
64,23400,90300,12,10.5,4,80.0,neutre,revolving,1
24,43000,26800,12,2.1,2,62.3,bon,personnel,1
57,25100,12000,60,4.4,5,9.6,mauvais,personnel,1
62,33100,60300,84,18.6,2,26.0,bon,personnel,1
64,55500,65100,48,7.1,2,29.3,bon,auto,0
31,25600,31700,36,5.0,0,41.3,bon,personnel,1
64,53900,22600,48,2.5,0,10.5,neutre,auto,0
25,54800,41600,84,0.8,5,10.8,bon,auto,0
45,61500,23200,24,8.7,1,18.9,mauvais,auto,0
43,39000,6400,60,6.0,0,3.3,bon,revolving,0
35,183600,39900,84,1.6,4,3.1,bon,auto,1
21,61500,50200,48,1.3,5,20.4,neutre,personnel,0
58,42700,73800,60,1.5,2,34.6,bon,revolving,0
36,23400,16100,120,2.2,2,6.9,bon,personnel,0
53,34600,31500,36,6.3,3,30.3,mauvais,auto,1
40,74100,32000,24,7.7,0,21.6,mauvais,immobilier,0
38,85400,28600,24,17.0,1,16.7,neutre,personnel,0
64,76100,29200,84,5.2,5,5.5,bon,auto,0
24,53800,27600,180,15.6,4,3.4,neutre,auto,0
56,19400,31200,60,3.5,0,32.2,neutre,revolving,1
57,46300,45200,240,3.4,3,4.9,bon,immobilier,0
38,19500,63200,84,0.2,5,46.3,bon,auto,0
33,17300,15800,36,3.4,1,30.4,bon,immobilier,0
20,40900,23800,36,3.9,1,19.4,bon,immobilier,0
66,47200,20000,60,8.1,5,8.5,bon,personnel,0
67,57100,18100,60,2.3,5,6.3,bon,immobilier,0
32,46600,8700,60,0.2,3,3.7,neutre,auto,0
21,47400,27400,60,2.0,2,11.6,mauvais,immobilier,0
26,22200,37600,48,2.3,1,42.3,bon,auto,1
23,34500,24100,36,2.7,0,23.3,mauvais,revolving,1
61,17100,26700,60,0.8,3,31.2,neutre,auto,0
64,15000,36100,84,8.8,0,34.4,neutre,auto,0
27,52600,72200,120,6.4,2,13.7,mauvais,auto,0
57,24900,20100,36,15.0,5,26.9,bon,immobilier,0
28,56200,11800,120,1.7,5,2.1,neutre,immobilier,1
38,63200,25300,36,6.3,2,13.3,bon,revolving,0
49,26600,100600,36,6.7,1,80.0,mauvais,immobilier,0
55,48800,11900,120,1.9,5,2.4,neutre,immobilier,0
63,26100,42400,240,3.1,5,8.1,neutre,personnel,1
22,15000,60500,180,2.7,3,26.9,bon,personnel,0
29,38600,5100,24,0.3,4,6.6,bon,auto,0
34,28700,35900,36,5.3,2,41.7,bon,revolving,0
35,29100,41000,84,0.7,4,20.1,bon,auto,0
69,97500,22300,120,1.2,3,2.3,bon,auto,0
58,16900,17100,60,4.8,1,20.2,bon,revolving,0
36,44000,17800,12,6.0,0,40.5,mauvais,immobilier,0
68,22100,21400,60,3.8,0,19.4,neutre,personnel,0
44,57200,21800,12,9.1,4,38.1,bon,immobilier,0
45,42200,19100,36,3.8,5,15.1,mauvais,revolving,0
41,43900,21100,60,10.9,3,9.6,neutre,immobilier,0
27,22600,61900,24,2.7,3,80.0,mauvais,auto,1
66,24800,11500,84,7.8,5,6.6,neutre,revolving,0
20,57700,7900,60,1.8,5,2.7,neutre,personnel,0
28,88000,62600,48,2.6,4,17.8,bon,immobilier,0
31,46200,23500,48,1.3,3,12.7,neutre,immobilier,0
33,23200,20500,180,2.7,2,5.9,neutre,immobilier,0
26,43000,24900,60,10.3,3,11.6,bon,personnel,0
20,122200,31100,120,20.3,4,2.5,bon,immobilier,0
53,38200,18600,48,0.0,5,12.2,mauvais,auto,0
68,75400,38300,60,0.7,3,10.2,mauvais,auto,1
26,25100,13700,240,5.0,4,2.7,neutre,revolving,0
34,35600,21800,24,6.0,0,30.6,bon,auto,0
45,49500,5700,36,5.9,2,3.8,bon,auto,0
66,44300,61100,180,3.1,1,9.2,bon,personnel,0
54,24800,23800,48,7.4,4,24.0,neutre,personnel,0
58,24200,43000,36,0.8,1,59.2,bon,immobilier,0
49,59500,37600,240,13.5,1,3.2,bon,auto,0
40,65900,39500,24,0.2,3,30.0,neutre,immobilier,0
29,77300,26800,60,6.0,3,6.9,neutre,auto,0
63,89500,35300,84,1.0,2,5.6,mauvais,immobilier,1
60,38800,13700,84,11.6,1,5.0,bon,personnel,0
21,31100,11900,48,6.0,5,9.6,bon,personnel,0
55,71400,25100,12,6.8,5,35.2,bon,auto,0
24,51900,16700,120,7.4,0,3.2,neutre,immobilier,0
56,22200,73000,120,2.7,5,32.9,bon,personnel,0
61,21700,35000,36,2.1,4,53.8,neutre,immobilier,1
26,46400,16300,36,0.7,5,11.7,bon,personnel,0
41,33200,22200,60,10.2,2,13.4,bon,immobilier,0
26,35800,29500,24,6.6,2,41.2,bon,revolving,0
48,62100,25700,120,2.0,3,4.1,mauvais,personnel,0
66,53100,32500,180,2.0,4,4.1,neutre,immobilier,0
24,70600,28200,36,10.7,5,13.3,bon,auto,1
39,15000,10200,180,3.7,1,4.5,bon,immobilier,0
68,41200,6000,120,7.1,5,1.5,bon,immobilier,0
35,51400,20700,84,1.1,2,5.8,bon,immobilier,0
26,16900,39800,240,4.0,3,11.8,mauvais,revolving,0
44,26200,20900,36,2.8,4,26.6,bon,revolving,0
45,23900,63900,180,23.1,3,17.8,bon,personnel,0
53,36700,26000,24,9.7,0,35.4,mauvais,revolving,1
35,82000,69600,48,2.9,5,21.2,neutre,personnel,1
67,99800,60300,60,1.4,0,12.1,bon,personnel,0
46,24200,56200,24,13.2,3,80.0,bon,auto,0
34,47300,11600,84,0.8,3,3.5,bon,revolving,0
68,48000,27200,48,1.2,1,14.2,neutre,personnel,0
66,44100,63300,48,1.2,4,35.9,mauvais,personnel,1
44,44300,32600,60,0.4,3,14.7,bon,personnel,0
21,42300,39700,24,2.3,2,46.9,bon,immobilier,0
49,84400,10200,36,0.2,0,4.0,bon,immobilier,0
47,63000,103100,36,4.1,4,54.6,bon,immobilier,0
27,21400,15500,240,11.1,0,3.6,neutre,personnel,0
51,54100,6700,84,2.2,5,1.8,bon,personnel,0
62,56700,21000,60,2.1,0,7.4,mauvais,auto,0
25,42500,4900,60,4.8,0,2.3,bon,personnel,0
56,63900,12600,60,2.8,1,3.9,neutre,personnel,0
27,39900,161300,36,3.5,4,80.0,neutre,immobilier,1
57,40100,20600,24,1.6,5,25.7,bon,immobilier,0
40,38600,9900,60,4.5,3,5.1,neutre,revolving,0
20,15000,27400,36,3.6,4,60.9,neutre,personnel,0
68,34900,14400,120,10.5,2,4.1,neutre,personnel,0
28,26000,49300,36,12.5,5,63.2,neutre,revolving,1
